Title;Authors;Abstract;Published Year;Published Month;Journal;Volume;Issue;Pages;Accession Number;DOI;Ref;Covidence #;Study;Notes;Tags;id
Overt and occult hypoxemia in patients hospitalized with novel coronavirus disease 2019;"SM Gadrey; P Mohanty; SP Haughey; BA Jacobsen; ...";… Since progressive hypoxemia is the predominant mode of deterioration in COVID-19, we expected hypoxemia markers to be the strongest predictors. Hypoxemia markers, however, …;2022;;MedRxiv : the Preprint Server for Health Sciences;;;;;;;#2145;SMGadrey 2022;"Exclusion reason: Wrong outcomes; Lena Pigat (2023-01-03 01:00:06)(Select): Outcome: clinical deterioration; Lena Pigat (2022-11-23 20:53:28)(Select): Preprint
; ";;1911
Proposal and Definition of a Methodology for Remote Detection and Prevention of Hypoxemic Clinical Cases in Patients Susceptible to Respiratory Diseases;"MC Guisande; JBB Rodríguez; AC Campos; ...";… Each one of them is in charge of calculating a risk value level associated to the final determination of the hypoxemic risk level, as it will be described with more detail in section 3 of this …;2019;;Proceedings of the …;;;;;10.1145/3362789.3362815;;#2230;MCGuisande 2019;"Exclusion reason: Wrong intervention; ";;557
Analysis of early hypoxia EEG based on a novel chaotic neural network;"M Hu; J Li; G Li; WJ Freeman";This paper presents an experiment to recognize early hypoxia based on EEG analyses. A chaotic neural network, the KIII model, initially designed to model olfactory neural systems is …;2006;;International Conference on Neural …;;;;;10.1007/11893028_2;;#2318;MHu 2006;"Exclusion reason: Wrong setting; ";;586
Hypoxemia index associated with prehospital intubation in COVID-19 patients;"R Jouffroy; R Kedzierewicz; C Derkenne; ...";… We used nearest-neighbor matching to match patients on the basis of the logit of the propensity score [22], and then we assessed the balance of covariates based on absolute mean …;2020;;Journal of Clinical …;;;;;;;#2398;RJouffroy 2020;"Exclusion reason: Wrong intervention; Sven Rohr (2022-11-08 19:58:55)(Screen): unclear abstract; ";;2076
Mo1097 'ETCO2 INSTABILITY'DERIVED BY CAPNOGRAPHY IS BENEFICIAL IN PREDICTING POTENTIAL HYPOXIC EVENTS DURING ENDOSCOPIC …;"SH Kim; B Keum; HJ Jeon; SH Jang; JH Kim; ...";… several factors that influenced the incidence of hypoxic events, and EtCO2 instability(OR 2.427, P-value 0.001) was among them. Hypoxia and EtCO2 instability have been shown to …;2019;;Gastrointestinal …;;;;;;;#2462;SHKim 2019;"Exclusion reason: Wrong study design; ";;2127
Predicting Intraoperative Hypoxemia with Joint Sequence Autoencoder Networks;"H Liu; M Montana; D Li; T Kannampallil; ...";… For either the prediction of general or persistent hypoxemia, it’s trivial and clinically less … only the start of hypoxemia and leave the samples where hypoxemia already begins unlabeled (…;2021;;arXiv preprint arXiv …;;;;;;;#2641;HLiu 2021;"Exclusion reason: Wrong patient population; Lena Pigat (2022-11-23 03:02:13)(Select): PDF is the newest version of the paper → slightly changed name; ";;2257
Prognostic Markers of Geriatric Patients in the Intensive Care Unit with Acute Hypoxic Respiratory Failure Secondary to COVID-19;"K Reano; P Gaisinskaya; N Bhupatiraju; C Gebara; ...";… We attempted the following tree-based supervised machine learning methods to extract the … Then we removed all patients who were not admitted for COVID-19 related acute hypoxic …;2022;;;;;;;;;#3036;KReano 2022;"Exclusion reason: Wrong outcomes; ";;2511
Development and validation of a biomarker-based model to predict persistent hypoxemic respiratory failure among mechanically ventilated adults;N Sathe;Background. Acute hypoxemic respiratory failure (HRF) requiring invasive mechanical ventilation (IMV) is a common and morbid condition, but treatment is largely supportive and most …;2021;;;;;;;;;#3107;NSathe 2021;"Exclusion reason: Unable to obtain full text; Lena Pigat (2023-01-05 03:06:45)(Excluded): Master thesis - under embargo until 2024; ";;2561
Risk factors for hypoxia during performing gastroscopy with propofol sedation;"LIN Yuxuan; Z Yanhua; W Xiaojing";… of hypoxia during performing gastroscopy with propofol sedation and provide theoretical basis for preventing hypoxia. … into two groups: hypoxia group and non hypoxia group, and the …;2020;;Journal of Diagnostics Concepts …;;;;;;;#3618;LINYuxuan 2020;"Exclusion reason: Wrong language; ";;2903
SWIFT: A deep learning approach to prediction of hypoxemic events in critically-Ill patients using SpO2 waveform prediction;"Annapragada, A. V.; Greenstein, J. L.; Bose, S. N.; Winters, B. D.; Sarma, S. V.; Winslow, R. L.";Hypoxemia is a significant driver of mortality and poor clinical outcomes in conditions such as brain injury and cardiac arrest in critically ill patients, including COVID-19 patients. Given the host of negative clinical outcomes attributed to hypoxemia, identifying patients likely to experience hypoxemia would offer valuable opportunities for early and thus more effective intervention. We present SWIFT (SpO2 Waveform ICU Forecasting Technique), a deep learning model that predicts blood oxygen saturation (SpO2) waveforms 5 and 30 minutes in the future using only prior SpO2 values as inputs. When tested on novel data, SWIFT predicts more than 80% and 60% of hypoxemic events in critically ill and COVID-19 patients, respectively. SWIFT also predicts SpO2 waveforms with average MSE below .0007. SWIFT predicts both occurrence and magnitude of potential hypoxemic events 30 minutes in the future, allowing it to be used to inform clinical interventions, patient triaging, and optimal resource allocation. SWIFT may be used in clinical decision support systems to inform the management of critically ill patients during the COVID-19 pandemic and beyond.;2021;12;PLoS Computational Biology;17;12;e1009712;34932550;https://dx.doi.org/10.1371/journal.pcbi.1009712;;#40;Annapragada 2021;;;14
An artificial neural network model for prediction of hypoxemia during sedation for gastrointestinal endoscopy;"Geng, W.; Tang, H.; Sharma, A.; Zhao, Y.; Yan, Y.; Hong, W.";Objective: This study was designed to assess clinical predictors of hypoxemia and develop an artificial neural network (ANN) model for prediction of hypoxemia during sedation for gastrointestinal endoscopy examination. Method(s): A total of 220 patients were enrolled in this prospective observational study. Data on demographics, chronic concomitant disease information, neck circumference, thyromental distance and anaesthetic dose were collected and statistically analysed. Result(s): Univariate analysis indicated that body mass index (BMI), habitual snoring and neck circumference were associated with hypoxemia. An ANN model was developed with three variables (BMI, habitual snoring and neck circumference). The area under the receiver operating characteristic curve for the ANN model was 0.80. Conclusion(s): The ANN model developed here, comprising BMI, habitual snoring and neck circumference, was useful for prediction of hypoxemia during sedation for gastrointestinal endoscopy. Copyright © The Author(s) 2019.;2019;01 May;Journal of International Medical Research;47(5);;2097-2103;627980502;https://dx.doi.org/10.1177/0300060519834459;;#317;Geng 2019;;;102
Explainable machine-learning predictions for the prevention of hypoxaemia during surgery;"Lundberg, S. M.; Nair, B.; Vavilala, M. S.; Horibe, M.; Eisses, M. J.; Adams, T.; Liston, D. E.; Low, D. K.; Newman, S. F.; Kim, J.; Lee, S. I.";Although anaesthesiologists strive to avoid hypoxemia during surgery, reliably predicting future intraoperative hypoxemia is not currently possible. Here, we report the development and testing of a machine-learning-based system that, in real time during general anaesthesia, predicts the risk of hypoxemia and provides explanations of the risk factors. The system, which was trained on minute-by-minute data from the electronic medical records of over fifty thousand surgeries, improved the performance of anaesthesiologists when providing interpretable hypoxemia risks and contributing factors. The explanations for the predictions are broadly consistent with the literature and with prior knowledge from anaesthesiologists. Our results suggest that if anaesthesiologists currently anticipate 15% of hypoxemia events, with this system's assistance they would anticipate 30% of them, a large portion of which may benefit from early intervention because they are associated with modifiable factors. The system can help improve the clinical understanding of hypoxemia risk during anaesthesia care by providing general insights into the exact changes in risk induced by certain patient or procedure characteristics.;2018;10;Nature Biomedical Engineering;2;10;749-760;31001455;https://dx.doi.org/10.1038/s41551-018-0304-0;;#607;Lundberg 2018;;;194
Machine Learning Models of Post-Intubation Hypoxia During General Anesthesia;"Sippl, P.; Ganslandt, T.; Prokosch, H. U.; Muenster, T.; Toddenroth, D.";Fine-meshed perioperative measurements are offering enormous potential for automatically investigating clinical complications during general anesthesia. In this study, we employed multiple machine learning methods to model perioperative hypoxia and compare their respective capabilities. After exporting and visualizing 620 series of perioperative vital signs, we had ten anesthesiologists annotate the subjective presence and severity of temporary post-intubation oxygen desaturation. We then applied specific clustering and prediction methods on the acquired annotations, and evaluated their performance in comparison to the inter-rater agreement between experts. When reproducing the expert annotations, the sensitivity and specificity of multi-layer neural networks substantially outperformed clustering and simpler threshold-based methods. The achieved performance of our best automated hypoxia models thereby approximately equaled the observed agreement between different medical experts. Furthermore, we deployed our classification methods for processing unlabeled inputs to estimate the incidence of hypoxic episodes in another sizeable patient cohort, which attests to the feasibility of using the approach on a larger scale. We interpret that our machine learning models could be instrumental for computerized observational studies of the clinical determinants of post-intubation oxygen deficiency. Future research might also investigate potential benefits of more advanced preprocessing approaches such as automated feature learning.;2017;;Studies in health technology and informatics;243;;212-216;621885580;;;#913;Sippl 2017;;;294
Deep Learning-Based Automatic Assessment of Lung Impairment in COVID-19 Pneumonia: Predicting Markers of Hypoxia With Computer Vision;"Statsenko, Y.; Habuza, T.; Talako, T.; Pazniak, M.; Likhorad, E.; Pazniak, A.; Beliakouski, P.; Gelovani, J. G.; Gorkom, K. N. V.; Almansoori, T. M.; Al Zahmi, F.; Qandil, D. S.; Zaki, N.; Elyassami, S.; Ponomareva, A.; Loney, T.; Naidoo, N.; Mannaerts, G. H. H.; Al Koteesh, J.; Ljubisavljevic, M. R.; Das, K. M.";"Background: Hypoxia is a potentially life-threatening condition that can be seen in pneumonia patients. Objective(s): We aimed to develop and test an automatic assessment of lung impairment in COVID-19 associated pneumonia with machine learning regression models that predict markers of respiratory and cardiovascular functioning from radiograms and lung CT. Material(s) and Method(s): We enrolled a total of 605 COVID-19 cases admitted to Al Ain Hospital from 24 February to 1 July 2020 into the study. The inclusion criteria were as follows: age >= 18 years; inpatient admission; PCR positive for SARS-CoV-2; lung CT available at PACS. We designed a CNN-based regression model to predict systemic oxygenation markers from lung CT and 2D diagnostic images of the chest. The 2D images generated by averaging CT scans were analogous to the frontal and lateral view radiograms. The functional (heart and breath rate, blood pressure) and biochemical findings (SpO<inf>2</inf>, (Formula presented.), K<sup>+</sup>, Na<sup>+</sup>, anion gap, C-reactive protein) served as ground truth. Result(s): Radiologic findings in the lungs of COVID-19 patients provide reliable assessments of functional status with clinical utility. If fed to ML models, the sagittal view radiograms reflect dyspnea more accurately than the coronal view radiograms due to the smaller size and the lower model complexity. Mean absolute error of the models trained on single-projection radiograms was approximately 11/12% and it dropped by 0.5/1% if both projections were used (11.97 +/- 9.23 vs. 11.43 +/- 7.51%; p = 0.70). Thus, the ML regression models based on 2D images acquired in multiple planes had slightly better performance. The data blending approach was as efficient as the voting regression technique: 10.90 +/- 6.72 vs. 11.96 +/- 8.30%, p = 0.94. The models trained on 3D images were more accurate than those on 2D: 8.27 +/- 4.13 and 11.75 +/- 8.26%, p = 0.14 before lung extraction; 10.66 +/- 5.83 and 7.94 +/- 4.13%, p = 0.18 after the extraction. The lung extraction boosts 3D model performance unsubstantially (from 8.27 +/- 4.13 to 7.94 +/- 4.13%; p = 0.82). However, none of the differences between 3D and 2D were statistically significant. Conclusion(s): The constructed ML algorithms can serve as models of structure-function association and pathophysiologic changes in COVID-19. The algorithms can improve risk evaluation and disease management especially after oxygen therapy that changes functional findings. Thus, the structural assessment of acute lung injury speaks of disease severity. Copyright © 2022 Statsenko, Habuza, Talako, Pazniak, Likhorad, Pazniak, Beliakouski, Gelovani, Gorkom, Almansoori, Al Zahmi, Qandil, Zaki, Elyassami, Ponomareva, Loney, Naidoo, Mannaerts, Al Koteesh, Ljubisavljevic and Das.";2022;26. Jul;Frontiers in Medicine;9 (no pagination);;;2018457131;https://dx.doi.org/10.3389/fmed.2022.882190;;#946;Statsenko 2022;;;1462
Development and validation of a machine-learning model for prediction of hypoxemia after extubation in intensive care units;"Xia, M.; Jin, C.; Cao, S.; Pei, B.; Wang, J.; Xu, T.; Jiang, H.";Background: Extubation is the process of removing tracheal tubes so that patients maintain oxygenation while they start to breathe spontaneously. However, hypoxemia after extubation is an important issue for critical care doctors and is associated with patients' oxygenation, circulation, recovery, and incidence of postoperative complications. Accuracy and specificity of most related conventional models remain unsatisfactory. We conducted a predictive analysis based on a supervised machine-learning algorithm for the precise prediction of hypoxemia after extubation in intensive care units (ICUs). Method(s): Data were extracted from the Medical Information Mart for Intensive Care (MIMIC)-IV database for patients over age 18 who underwent mechanical ventilation in the ICU. The primary outcome was hypoxemia after extubation, and it was defined as a partial pressure of oxygen <60 mmHg after extubation. Variables and individuals with missing values greater than 20% were excluded, and the remaining missing values were filled in using multiple imputation. The dataset was split into a training set (80%) and final test set (20%). All related clinical and laboratory variables were extracted, and logistics stepwise regression was performed to screen out the key features. Six different advanced machine-learning models, including logistics regression (LOG), random forest (RF), K-nearest neighbors (KNN), support-vector machine (SVM), eXtreme Gradient Boosting (XGBoost), and Light Gradient Boosting Machine (LightGBM), were introduced for modelling. The best performance model in the first cross-validated dataset was further fine-tuned, and the final performance was assessed using the final test set. Result(s): A total of 14,777 patients were included in the study, and 1,864 of the patients' experienced hypoxemia after extubation. After training, the RF and LightGBM models were the strongest initial performers, and the area under the curve (AUC) using RF was 0.780 [95% confidence interval (CI), 0.755-0.805] and using LightGBM was 0.779 (95% CI, 0.752-0.806). The final AUC using RF was 0.792 (95% CI, 0.771-0.814) and using LightGBM was 0.792 (95% CI, 0.770-0.815). Conclusion(s): Our machine learning models have considerable potential for predicting hypoxemia after extubation, which help to reduce ICU morbidity and mortality. Copyright © Annals of Translational Medicine. All rights reserved.;2022;May;Annals of Translational Medicine;10(10) (no pagination);;;2018501501;https://dx.doi.org/10.21037/atm-22-2118;;#1099;Xia 2022;;;360
